Data,cena/m3
29-12-2018,3 388
28-12-2018,3 402
22-12-2018,3 415
21-12-2018,3 412
20-12-2018,3 469
19-12-2018,3 470
18-12-2018,3 521
15-12-2018,3 528
14-12-2018,3 531
13-12-2018,3 534
12-12-2018,3 519
11-12-2018,3 525
08-12-2018,3 532
07-12-2018,3 513
06-12-2018,3 529
05-12-2018,3 498
04-12-2018,3 472
01-12-2018,3 471
30-11-2018,3 474
29-11-2018,3 474
28-11-2018,3 486
27-11-2018,3 536
24-11-2018,3 532
23-11-2018,3 579
22-11-2018,3 616
21-11-2018,3 644
20-11-2018,3 677
17-11-2018,3 687
16-11-2018,3 688
15-11-2018,3 712
14-11-2018,3 728
10-11-2018,3 732
09-11-2018,3 745
08-11-2018,3 768
07-11-2018,3 791
06-11-2018,3 807
03-11-2018,3 857
01-11-2018,3 912
31-10-2018,3 917
30-10-2018,3 905
27-10-2018,3 891
26-10-2018,3 900
25-10-2018,3 930
24-10-2018,3 952
23-10-2018,3 968
20-10-2018,3 960
19-10-2018,3 937
18-10-2018,3 932
17-10-2018,3 938
16-10-2018,3 925
13-10-2018,3 962
12-10-2018,4 017
11-10-2018,4 063
10-10-2018,4 084
09-10-2018,4 101
06-10-2018,4 113
05-10-2018,4 116
04-10-2018,4 099
03-10-2018,4 098
02-10-2018,4 061
29-09-2018,4 051
28-09-2018,4 042
27-09-2018,4 035
26-09-2018,4 037
25-09-2018,4 031
22-09-2018,4 013
21-09-2018,4 018
20-09-2018,4 014
19-09-2018,4 019
18-09-2018,4 032
15-09-2018,4 061
14-09-2018,4 076
13-09-2018,4 082
12-09-2018,4 069
11-09-2018,4 064
08-09-2018,4 069
07-09-2018,4 092
06-09-2018,4 131
05-09-2018,4 149
04-09-2018,4 158
01-09-2018,4 137
31-08-2018,4 128
30-08-2018,4 120
29-08-2018,4 121
25-08-2018,4 124
24-08-2018,4 102
23-08-2018,4 095
22-08-2018,4 086
21-08-2018,4 087
18-08-2018,4 086
17-08-2018,4 082
15-08-2018,4 085
14-08-2018,4 058
11-08-2018,4 052
10-08-2018,4 045
09-08-2018,4 080
08-08-2018,4 111
07-08-2018,4 116
04-08-2018,4 118
03-08-2018,4 117
