Data,cena/m3
29-12-2018,3 924
28-12-2018,3 970
22-12-2018,3 986
21-12-2018,4 050
20-12-2018,4 093
19-12-2018,4 110
18-12-2018,4 128
15-12-2018,4 134
14-12-2018,4 136
13-12-2018,4 151
12-12-2018,4 150
11-12-2018,4 167
08-12-2018,4 180
07-12-2018,4 160
06-12-2018,4 184
05-12-2018,4 146
04-12-2018,4 115
01-12-2018,4 108
30-11-2018,4 140
29-11-2018,4 177
28-11-2018,4 180
27-11-2018,4 216
24-11-2018,4 208
23-11-2018,4 252
22-11-2018,4 291
21-11-2018,4 323
20-11-2018,4 353
17-11-2018,4 370
16-11-2018,4 378
15-11-2018,4 390
14-11-2018,4 403
10-11-2018,4 425
09-11-2018,4 435
08-11-2018,4 446
07-11-2018,4 445
06-11-2018,4 484
03-11-2018,4 507
01-11-2018,4 534
31-10-2018,4 518
30-10-2018,4 522
27-10-2018,4 511
26-10-2018,4 483
25-10-2018,4 453
24-10-2018,4 457
23-10-2018,4 467
20-10-2018,4 459
19-10-2018,4 448
18-10-2018,4 438
17-10-2018,4 455
16-10-2018,4 481
13-10-2018,4 512
12-10-2018,4 529
11-10-2018,4 559
10-10-2018,4 563
09-10-2018,4 553
06-10-2018,4 558
05-10-2018,4 552
04-10-2018,4 523
03-10-2018,4 504
02-10-2018,4 452
29-09-2018,4 430
28-09-2018,4 399
27-09-2018,4 397
26-09-2018,4 363
25-09-2018,4 340
22-09-2018,4 328
21-09-2018,4 335
20-09-2018,4 334
19-09-2018,4 336
18-09-2018,4 333
15-09-2018,4 350
14-09-2018,4 364
13-09-2018,4 369
12-09-2018,4 351
11-09-2018,4 348
08-09-2018,4 344
07-09-2018,4 365
06-09-2018,4 372
05-09-2018,4 373
04-09-2018,4 355
01-09-2018,4 336
31-08-2018,4 327
30-08-2018,4 320
29-08-2018,4 314
25-08-2018,4 303
24-08-2018,4 280
23-08-2018,4 269
22-08-2018,4 263
21-08-2018,4 265
18-08-2018,4 268
17-08-2018,4 266
15-08-2018,4 292
14-08-2018,4 270
11-08-2018,4 247
10-08-2018,4 230
09-08-2018,4 238
08-08-2018,4 251
07-08-2018,4 240
04-08-2018,4 230
03-08-2018,4 220
02-08-2018,4 229
01-08-2018,4 262
31-07-2018,4 270
28-07-2018,4 272
27-07-2018,4 263
26-07-2018,4 255
25-07-2018,4 246
24-07-2018,4 231
21-07-2018,4 209
20-07-2018,4 197
19-07-2018,4 178
18-07-2018,4 195
17-07-2018,4 215
14-07-2018,4 257
13-07-2018,4 261
12-07-2018,4 289
11-07-2018,4 302
10-07-2018,4 300
07-07-2018,4 310
06-07-2018,4 320
05-07-2018,4 319
04-07-2018,4 316
03-07-2018,4 321
30-06-2018,4 323
29-06-2018,4 287
28-06-2018,4 251
27-06-2018,4 223
26-06-2018,4 220
23-06-2018,4 229
22-06-2018,4 235
21-06-2018,4 239
20-06-2018,4 237
19-06-2018,4 233
16-06-2018,4 231
15-06-2018,4 245
