Data, cena/m3
29-12-2018,3 679
28-12-2018,3 725
22-12-2018,3 741
21-12-2018,3 805
20-12-2018,3 848
19-12-2018,3 865
18-12-2018,3 883
15-12-2018,3 889
14-12-2018,3 891
13-12-2018,3 906
12-12-2018,3 905
11-12-2018,3 922
08-12-2018,3 935
07-12-2018,3 915
06-12-2018,3 939
05-12-2018,3 901
04-12-2018,3 870
01-12-2018,3 863
30-11-2018,3 895
29-11-2018,3 932
28-11-2018,3 935
27-11-2018,3 971
24-11-2018,3 963
23-11-2018,4 007
22-11-2018,4 046
21-11-2018,4 078
20-11-2018,4 108
17-11-2018,4 125
16-11-2018,4 133
15-11-2018,4 145
14-11-2018,4 158
10-11-2018,4 180
09-11-2018,4 190
08-11-2018,4 201
07-11-2018,4 200
06-11-2018,4 239
03-11-2018,4 262
01-11-2018,4 289
31-10-2018,4 273
30-10-2018,4 277
27-10-2018,4 266
26-10-2018,4 238
25-10-2018,4 208
24-10-2018,4 212
23-10-2018,4 222
20-10-2018,4 214
19-10-2018,4 203
18-10-2018,4 193
17-10-2018,4 210
16-10-2018,4 236
13-10-2018,4 267
12-10-2018,4 284
11-10-2018,4 314
10-10-2018,4 318
09-10-2018,4 308
06-10-2018,4 313
05-10-2018,4 307
04-10-2018,4 278
03-10-2018,4 259
02-10-2018,4 207
29-09-2018,4 185
28-09-2018,4 154
27-09-2018,4 152
26-09-2018,4 118
25-09-2018,4 095
22-09-2018,4 083
21-09-2018,4 090
20-09-2018,4 089
19-09-2018,4 091
18-09-2018,4 088
15-09-2018,4 105
14-09-2018,4 119
13-09-2018,4 124
12-09-2018,4 106
11-09-2018,4 103
08-09-2018,4 099
07-09-2018,4 120
06-09-2018,4 127
05-09-2018,4 128
04-09-2018,4 110
01-09-2018,4 091
31-08-2018,4 082
30-08-2018,4 075
29-08-2018,4 069
25-08-2018,4 058
24-08-2018,4 035
23-08-2018,4 024
22-08-2018,4 018
21-08-2018,4 020
18-08-2018,4 023
17-08-2018,4 021
15-08-2018,4 047
14-08-2018,4 025
11-08-2018,4 002
10-08-2018,3 985
09-08-2018,3 993
08-08-2018,4 006
07-08-2018,3 995
04-08-2018,3 985
03-08-2018,3 975
02-08-2018,3 984
01-08-2018,4 017
31-07-2018,4 025
28-07-2018,4 027
27-07-2018,4 018
26-07-2018,4 010
25-07-2018,4 001
24-07-2018,3 986
21-07-2018,3 964
20-07-2018,3 952
19-07-2018,3 933
18-07-2018,3 950
17-07-2018,3 970
14-07-2018,4 012
13-07-2018,4 016
12-07-2018,4 044
11-07-2018,4 057
10-07-2018,4 055
07-07-2018,4 065
06-07-2018,4 075
05-07-2018,4 074
04-07-2018,4 071
03-07-2018,4 076
30-06-2018,4 078
29-06-2018,4 042
28-06-2018,4 006
27-06-2018,3 978
26-06-2018,3 975
23-06-2018,3 984
22-06-2018,3 990
21-06-2018,3 994
20-06-2018,3 992
19-06-2018,3 988
16-06-2018,3 986
15-06-2018,4 000
14-06-2018,4 011
13-06-2018,4 005
12-06-2018,4 001
09-06-2018,3 998
08-06-2018,3 986
07-06-2018,3 995
06-06-2018,4 023
05-06-2018,4 071
02-06-2018,4 104
31-05-2018,4 119
30-05-2018,4 113
26-05-2018,4 117
25-05-2018,4 130
24-05-2018,4 122
23-05-2018,4 115
22-05-2018,4 109
19-05-2018,4 099
18-05-2018,4 080
17-05-2018,4 043
16-05-2018,4 026
15-05-2018,4 012
12-05-2018,4 004
11-05-2018,3 986
10-05-2018,3 963
09-05-2018,3 912
05-05-2018,3 893
03-05-2018,3 873
01-05-2018,3 873
28-04-2018,3 864
27-04-2018,3 851
26-04-2018,3 828
25-04-2018,3 800
24-04-2018,3 781
21-04-2018,3 763
20-04-2018,3 745
19-04-2018,3 737
18-04-2018,3 735
17-04-2018,3 751
16-04-2018,3 762
14-04-2018,3 771
13-04-2018,3 765
12-04-2018,3 745
11-04-2018,3 711
10-04-2018,3 696
07-04-2018,3 691
06-04-2018,3 696
05-04-2018,3 698
30-03-2018,3 701
29-03-2018,3 695
28-03-2018,3 695
27-03-2018,3 693
24-03-2018,3 679
23-03-2018,3 668
22-03-2018,3 651
21-03-2018,3 612
20-03-2018,3 593
17-03-2018,3 577
16-03-2018,3 566
15-03-2018,3 562
14-03-2018,3 560
13-03-2018,3 558
10-03-2018,3 560
09-03-2018,3 552
08-03-2018,3 554
07-03-2018,3 559
06-03-2018,3 551
03-03-2018,3 544
02-03-2018,3 568
01-03-2018,3 585
28-02-2018,3 592
27-02-2018,3 590
24-02-2018,3 568
23-02-2018,3 541
22-02-2018,3 521
21-02-2018,3 506
20-02-2018,3 483
17-02-2018,3 464
16-02-2018,3 453
15-02-2018,3 463
14-02-2018,3 471
13-02-2018,3 498
10-02-2018,3 514
09-02-2018,3 531
08-02-2018,3 552
07-02-2018,3 572
06-02-2018,3 588
03-02-2018,3 590
02-02-2018,3 588
01-02-2018,3 585
31-01-2018,3 598
30-01-2018,3 610
27-01-2018,3 619
26-01-2018,3 619
25-01-2018,3 620
24-01-2018,3 617
23-01-2018,3 614
20-01-2018,3 612
19-01-2018,3 624
18-01-2018,3 631
17-01-2018,3 639
16-01-2018,3 657
13-01-2018,3 667
12-01-2018,3 680
11-01-2018,3 674
10-01-2018,3 657
09-01-2018,3 650
06-01-2018,3 647
05-01-2018,3 649
04-01-2018,3 662
03-01-2018,3 655
01-01-2018,3 666
31-12-2019,4 204
28-12-2019,4 217
24-12-2019,4 176
21-12-2019,4 159
20-12-2019,4 153
19-12-2019,4 132
18-12-2019,4 104
17-12-2019,4 085
14-12-2019,4 069
13-12-2019,4 063
12-12-2019,4 077
11-12-2019,4 095
10-12-2019,4 079
07-12-2019,4 066
06-12-2019,4 057
05-12-2019,4 050
04-12-2019,4 049
03-12-2019,4 065
30-11-2019,4 072
29-11-2019,4 083
28-11-2019,4 075
27-11-2019,4 075
26-11-2019,4 052
23-11-2019,4 036
22-11-2019,4 023
21-11-2019,4 024
20-11-2019,4 027
19-11-2019,4 039
16-11-2019,4 061
15-11-2019,4 041
14-11-2019,4 009
13-11-2019,4 009
09-11-2019,4 003
08-11-2019,3 998
07-11-2019,4 000
06-11-2019,3 999
05-11-2019,3 996
01-11-2019,3 983
31-10-2019,4 006
30-10-2019,4 016
29-10-2019,4 018
26-10-2019,4 025
25-10-2019,4 027
24-10-2019,4 001
23-10-2019,3 999
22-10-2019,4 000
19-10-2019,4 009
18-10-2019,4 019
17-10-2019,4 023
16-10-2019,4 024
15-10-2019,4 033
12-10-2019,4 041
11-10-2019,4 033
10-10-2019,4 036
09-10-2019,4 031
08-10-2019,4 033
05-10-2019,4 037
04-10-2019,4 049
03-10-2019,4 068
02-10-2019,4 086
01-10-2019,4 091
28-09-2019,4 119
27-09-2019,4 115
26-09-2019,4 128
25-09-2019,4 141
24-09-2019,4 161
21-09-2019,4 169
20-09-2019,4 179
19-09-2019,4 156
18-09-2019,4 144
17-09-2019,4 127
14-09-2019,4 062
13-09-2019,4 072
12-09-2019,4 113
11-09-2019,4 107
10-09-2019,4 085
07-09-2019,4 071
06-09-2019,4 070
05-09-2019,4 062
04-09-2019,4 046
03-09-2019,4 053
31-08-2019,4 057
30-08-2019,4 054
29-08-2019,4 025
28-08-2019,4 017
24-08-2019,4 025
